CustomerKey;FullName;Sex;BirthDate;Age;YearlyIncome;TotalChildren;City;CountryRegionName;DateFirstPurchase
11000;Jon Yang;Male;1971-10-06;53;90000,00;2;Rockhampton;Australia;2021-01-19
11001;Eugene Huang;Male;1976-05-10;48;60000,00;3;Seaford;Australia;2021-01-15
11002;Ruben Torres;Male;1971-02-09;53;60000,00;3;Hobart;Australia;2021-01-07
11003;Christy Zhu;Female;1973-08-14;51;70000,00;0;North Ryde;Australia;2020-12-29
11004;Elizabeth Johnson;Female;1979-08-05;45;80000,00;5;Wollongong;Australia;2021-01-23
11005;Julio Ruiz;Male;1976-08-01;48;70000,00;0;East Brisbane;Australia;2020-12-30
11006;Janet Alvarez;Female;1976-12-02;48;70000,00;0;Matraville;Australia;2021-01-24
11007;Marco Mehta;Male;1969-11-06;55;60000,00;3;Warrnambool;Australia;2021-01-09
11008;Rob Verhoff;Female;1975-07-04;49;60000,00;4;Bendigo;Australia;2021-01-25
11009;Shannon Carlson;Male;1969-09-29;55;70000,00;0;Hervey Bay;Australia;2021-01-27
11010;Jacquelyn Suarez;Female;1969-08-05;55;70000,00;0;East Brisbane;Australia;2021-01-14
11011;Curtis Lu;Male;1969-05-03;55;60000,00;4;East Brisbane;Australia;2020-12-30
11012;Lauren Walker;Female;1979-01-14;45;100000,00;2;Bremerton;United States;2023-03-16
11013;Ian Jenkins;Male;1979-08-03;45;100000,00;2;Lebanon;United States;2023-04-13
11014;Sydney Bennett;Female;1973-11-06;51;100000,00;3;Redmond;United States;2023-03-23
11015;Chloe Young;Female;1984-08-26;40;30000,00;0;Burbank;United States;2023-01-18
11016;Wyatt Hill;Male;1984-10-25;40;30000,00;0;Imperial Beach;United States;2023-02-09
11017;Shannon Wang;Female;1949-12-24;75;20000,00;4;Sunbury;Australia;2021-01-12
11018;Clarence Rai;Male;1955-10-06;69;30000,00;2;Bendigo;Australia;2021-01-17
11019;Luke Lal;Male;1983-09-04;41;40000,00;0;Langley;Canada;2023-02-12
11020;Jordan King;Male;1984-03-19;40;40000,00;0;Metchosin;Canada;2022-12-29
11021;Destiny Wilson;Female;1984-03-02;40;40000,00;0;Beaverton;United States;2023-01-23
11022;Ethan Zhang;Male;1984-04-10;40;40000,00;0;Bellingham;United States;2023-01-20
11023;Seth Edwards;Male;1984-04-09;40;40000,00;0;Bellflower;United States;2023-02-17
11024;Russell Xie;Male;1984-03-16;40;60000,00;0;Concord;United States;2023-06-27
11025;Alejandro Beck;Male;1951-06-22;73;10000,00;2;Hawthorne;Australia;2021-01-06
11026;Harold Sai;Male;1951-10-01;73;30000,00;2;Goulburn;Australia;2021-01-23
11027;Jessie Zhao;Male;1952-06-05;72;30000,00;2;Warrnambool;Australia;2021-01-16
11028;Jill Jimenez;Female;1951-10-09;73;30000,00;2;St. Leonards;Australia;2021-01-26
11029;Jimmy Moreno;Male;1952-06-19;72;30000,00;2;Bendigo;Australia;2021-01-19
11030;Bethany Yuan;Female;1958-02-18;66;10000,00;2;Cloverdale;Australia;2021-02-05
11031;Theresa Ramos;Female;1953-02-18;71;20000,00;4;Matraville;Australia;2021-02-01
11032;Denise Stone;Female;1952-12-08;72;20000,00;4;Melbourne;Australia;2021-02-18
11033;Jaime Nath;Male;1958-09-19;66;20000,00;4;Milsons Point;Australia;2021-02-15
11034;Ebony Gonzalez;Female;1952-12-16;72;20000,00;4;North Sydney;Australia;2021-02-01
11035;Wendy Dominguez;Female;1953-08-23;71;10000,00;2;Cranbourne;Australia;2021-02-06
11036;Jennifer Russell;Female;1984-06-16;40;60000,00;0;National City;United States;2023-01-22
11037;Chloe Garcia;Female;1983-05-27;41;40000,00;0;Cliffside;Canada;2023-01-20
11038;Diana Hernandez;Female;1953-09-20;71;10000,00;2;Lavender Bay;Australia;2021-02-07
11039;Marc Martin;Male;1954-06-16;70;30000,00;3;Wollongong;Australia;2021-02-07
11040;Jesse Murphy;Male;1983-01-29;41;30000,00;0;Tacoma;United States;2023-04-03
11041;Amanda Carter;Female;1983-04-15;41;60000,00;0;Glendale;United States;2023-01-14
11042;Megan Sanchez;Female;1982-12-11;42;70000,00;0;Los Angeles;United States;2023-01-21
11043;Nathan Simmons;Male;1981-08-23;43;60000,00;0;Glendale;United States;2023-05-08
11044;Adam Flores;Male;1954-11-21;70;20000,00;2;Hervey Bay;Australia;2021-02-28
11045;Leonard Nara;Male;1955-11-16;69;30000,00;3;Matraville;Australia;2023-04-10
11046;Christine Yuan;Female;1955-09-19;69;30000,00;3;Lavender Bay;Australia;2021-02-06
11047;Jaclyn Lu;Female;1955-08-27;69;30000,00;3;Geelong;Australia;2021-02-03
11048;Jeremy Powell;Male;1956-05-21;68;30000,00;3;Sunbury;Australia;2021-02-10
11049;Carol Rai;Female;1986-01-15;38;40000,00;0;Chula Vista;United States;2023-03-09
11050;Alan Zheng;Male;1957-03-06;67;30000,00;3;Hobart;Australia;2021-02-20
11051;Daniel Johnson;Male;1957-01-31;67;30000,00;3;Caloundra;Australia;2023-12-29
11052;Heidi Lopez;Female;1957-02-03;67;40000,00;2;Matraville;Australia;2021-02-17
11053;Ana Price;Female;1986-02-17;38;60000,00;0;San Diego;United States;2023-01-17
11054;Deanna Munoz;Female;1957-09-07;67;40000,00;2;Geelong;Australia;2021-02-03
11055;Gilbert Raje;Male;1957-09-02;67;40000,00;2;East Brisbane;Australia;2021-01-31
11056;Michele Nath;Female;1958-10-01;66;40000,00;3;Newcastle;Australia;2021-02-26
11057;Carl Andersen;Male;1970-04-07;54;70000,00;2;Lane Cove;Australia;2021-02-22
11058;Marc Diaz;Male;1965-04-23;59;80000,00;2;Findon;Australia;2021-03-09
11059;Ashlee Andersen;Female;1959-09-29;65;80000,00;2;Townsville;Australia;2023-02-18
11060;Jon Zhou;Male;1959-09-14;65;80000,00;2;Warrnambool;Australia;2021-03-19
11061;Todd Gao;Male;1976-02-20;48;80000,00;2;Gold Coast;Australia;2021-03-13
11062;Noah Powell;Male;1981-03-01;43;40000,00;0;Portland;United States;2023-01-07
11063;Angela Murphy;Female;1980-10-04;44;40000,00;0;Redmond;United States;2023-01-12
11064;Chase Reed;Male;1981-06-05;43;40000,00;0;Downey;United States;2023-01-25
11065;Jessica Henderson;Female;1979-04-08;45;60000,00;0;La Jolla;United States;2023-02-10
11066;Grace Butler;Female;1979-05-27;45;70000,00;0;Lebanon;United States;2023-05-31
11067;Caleb Carter;Male;1982-03-25;42;60000,00;0;Port Orchard;United States;2023-08-18
11068;Tiffany Liang;Female;1966-09-19;58;80000,00;2;Warrnambool;Australia;2023-04-30
11069;Carolyn Navarro;Female;1966-09-17;58;80000,00;2;Gold Coast;Australia;2021-04-17
11070;Willie Raji;Male;1960-10-02;64;80000,00;2;Sunbury;Australia;2021-04-28
11071;Linda Serrano;Female;1960-12-23;64;80000,00;2;Hawthorne;Australia;2023-03-01
